year,region,educ,educ_count,educ_share
1978,Northeast,Less than high school,9582474.765622457,0.33089057520191534
1978,Northeast,High school,10711514.584011078,0.3698772299096055
1978,Northeast,Some college,3897658.9309832253,0.13458930361505062
1978,Northeast,College,3222409.7775993347,0.11127240623386683
1978,Northeast,Advanced,1545590.4895706177,0.05337048503956178
1978,Midwest,High school,12096731.754051844,0.37218245422985535
1978,Midwest,Less than high school,10447755.335723877,0.3214480821020373
1978,Midwest,College,3359653.736932119,0.1033671076284777
1978,Midwest,Some college,5093246.359608333,0.1567048826623242
1978,Midwest,Advanced,1504767.648153941,0.04629747337730549
1978,South,High school,12417621.254504045,0.31423300123182846
1978,South,Less than high school,15414861.581204096,0.39007939757206206
1978,South,Some college,5866173.07937177,0.1484459168705714
1978,South,Advanced,1739633.9924252827,0.044022152011314306
1978,South,College,4078951.139188131,0.10321953231422375
1978,West,Less than high school,5587238.424972017,0.2528034292485247
1978,West,High school,6957554.487250646,0.31480554430952773
1978,West,College,2783407.5504353843,0.1259396718424139
1978,West,Some college,5354071.648378074,0.24225343008501693
1978,West,Advanced,1418845.9061539967,0.06419792451451672
1979,Northeast,Less than high school,9290608.541210175,0.31974232577072426
1979,Northeast,High school,10867377.74265035,0.3740078617079922
1979,Northeast,College,3294979.0462506614,0.1133988434601246
1979,Northeast,Some college,4030098.617389679,0.13869846084826074
1979,Northeast,Advanced,1573485.0058339436,0.054152508212898263
1979,Midwest,Some college,5412245.886299769,0.16378027808709494
1979,Midwest,High school,12486597.615630785,0.3778576348547658
1979,Midwest,College,3466024.48474439,0.10488556246216983
1979,Midwest,Less than high school,10099416.274079641,0.3056190056096946
1979,Midwest,Advanced,1581488.7072315216,0.0478575189862748
1979,South,High school,12731520.469427427,0.31517716188174966
1979,South,Less than high school,15111037.272758326,0.37408366519568526
1979,South,College,4308719.494968414,0.10666518465172636
1979,South,Some college,6352923.739080747,0.15727080504978458
1979,South,Advanced,1890605.5300947826,0.04680318322105424
1979,West,High school,7177215.687544823,0.31247303323998005
1979,West,College,3074053.533121506,0.13383446640784205
